          1012	2025-08-01 08:05:05	1	0	1	0
           333	2025-08-01 08:05:11	1	0	16	0
           444	2025-08-01 08:05:17	1	0	16	0
           555	2025-08-01 08:05:35	1	0	16	0
            55	2025-08-01 08:06:03	1	0	16	0
          1158	2025-08-01 08:06:11	1	0	1	0
            44	2025-08-01 08:06:27	1	0	16	0
          1321	2025-08-01 08:11:46	1	0	1	0
         11001	2025-08-01 08:20:24	1	0	1	0
           666	2025-08-01 08:25:45	1	0	16	0
            11	2025-08-01 08:26:01	1	0	16	0
          1200	2025-08-01 08:42:33	1	0	1	0
          1478	2025-08-01 08:45:02	1	0	1	0
          1533	2025-08-01 08:57:12	1	0	1	0
            77	2025-08-01 09:01:31	1	0	16	0
         11001	2025-08-01 13:41:34	1	0	1	0
            44	2025-08-01 17:12:41	1	0	16	0
          1200	2025-08-01 17:12:48	1	0	1	0
          1478	2025-08-01 17:12:56	1	0	1	0
           444	2025-08-01 17:13:03	1	0	16	0
          1158	2025-08-01 17:24:41	1	0	1	0
          1321	2025-08-01 17:35:19	1	0	1	0
          1129	2025-08-01 17:35:28	1	0	1	0
          1012	2025-08-01 17:35:52	1	0	1	0
           555	2025-08-01 17:53:01	1	0	16	0
            11	2025-08-01 18:03:23	1	0	16	0
            55	2025-08-01 18:07:44	1	0	16	0
           777	2025-08-01 18:26:43	1	0	16	0
           333	2025-08-01 18:40:46	1	0	16	0
           555	2025-08-04 11:47:45	1	0	16	0
          1012	2025-08-04 11:53:00	1	0	1	0
         11001	2025-08-04 13:05:30	1	0	1	0
            77	2025-08-04 14:39:00	1	0	16	0
         11001	2025-08-04 14:51:27	1	0	1	0
            11	2025-08-04 17:02:32	1	0	16	0
           444	2025-08-04 17:11:43	1	0	16	0
          3333	2025-08-04 17:27:29	1	0	1	0
           999	2025-08-04 17:41:47	1	0	16	0
            44	2025-08-04 17:42:09	1	0	16	0
          1533	2025-08-04 17:56:56	1	0	1	0
          1012	2025-08-04 18:04:55	1	0	1	0
           555	2025-08-04 18:19:02	1	0	16	0
          1239	2025-08-04 18:44:28	1	0	1	0
         11001	2025-08-05 09:19:32	1	0	1	0
           666	2025-08-05 09:36:11	1	0	16	0
          1478	2025-08-05 09:37:10	1	0	15	0
          1239	2025-08-05 09:38:52	1	0	15	0
            11	2025-08-05 09:40:42	1	0	16	0
           333	2025-08-05 09:52:16	1	0	16	0
         11001	2025-08-05 14:28:13	1	0	1	0
          1147	2025-08-05 15:17:27	1	0	1	0
           444	2025-08-05 17:19:10	1	0	16	0
           555	2025-08-05 17:20:27	1	0	16	0
            11	2025-08-05 17:43:52	1	0	16	0
          1478	2025-08-05 17:53:53	1	0	1	0
          3333	2025-08-05 18:31:56	1	0	1	0
          1239	2025-08-05 18:42:50	1	0	1	0
            55	2025-08-05 18:59:54	1	0	16	0
           666	2025-08-06 08:19:44	1	0	16	0
          1012	2025-08-06 08:19:52	1	0	1	0
           555	2025-08-06 08:20:02	1	0	16	0
          1321	2025-08-06 08:21:06	1	0	1	0
          1129	2025-08-06 08:21:16	1	0	1	0
          3333	2025-08-06 08:25:55	1	0	1	0
          1145	2025-08-06 08:34:29	1	0	1	0
         11001	2025-08-06 08:35:23	1	0	1	0
            11	2025-08-06 08:36:22	1	0	16	0
          1200	2025-08-06 08:42:13	1	0	1	0
          3333	2025-08-06 09:07:07	1	0	1	0
          1147	2025-08-06 09:09:02	1	0	1	0
          3333	2025-08-06 09:15:32	1	0	1	0
          3333	2025-08-06 09:18:18	1	0	1	0
          3333	2025-08-06 10:06:09	1	0	1	0
